"","stationcode","water_year_type","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"1","312PS0099","Moderate",0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"2","312PS0099","Wet",NA,0,NA,0,NA,0,NA,NA,0,NA,-0.0015,NA,NA,NA,NA,NA
"3","312PS0099",NA,NA,NA,0.02905,NA,NA,NA,3e-04,-0.0014,NA,NA,NA,-0.00135,-0.006,NA,NA,NA
"4","312WE1028","Wet",0,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"5","312WE1028",NA,NA,NA,-0.01915,NA,NA,NA,0.0025,-0.002,NA,NA,0.0025,-7e-04,0.0248,NA,NA,NA
"6","312WE1035","Wet",0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
"7","312WE1035",NA,NA,NA,-0.0057,NA,NA,NA,NA,0.01455,NA,NA,-2e-04,-3e-04,0.00505,NA,NA,NA
"8","314SYL",NA,-1,NA,18.82525,NA,NA,0.5,0.06645,0.1361,-0.5,59,0.3943,10.9911,1.62435,NA,NA,NA
"9","314SYL","Wet",NA,-2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","314WE0542","Wet",-2,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA
"11","314WE0542","Dry",NA,NA,0,NA,-29,-25,-0.832,NA,-4,NA,0,NA,NA,NA,NA,NA
"12","314WE0542","Moderate",NA,27,NA,-0.0298,NA,NA,NA,1.5,NA,NA,NA,0.1,0,NA,NA,NA
"13","314WE0542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2341,0
"14","314WE0677","Moderate",0,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"15","314WE0677","Wet",NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"16","314WE0677",NA,NA,NA,0.0122,NA,NA,NA,NA,-0.00025,NA,NA,-6e-04,-0.00055,-0.0016,NA,NA,NA
"17","314WE0779","Moderate",NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA
"18","314WE0779","Wet",0,0,-4e-04,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"19","314WE0779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2e-04,NA,NA,NA
"20","314WE0796","Wet",0,0,NA,0,NA,0,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA
"21","314WE0796",NA,NA,NA,NA,NA,NA,NA,-0.0011,NA,NA,NA,3e-04,NA,NA,NA,NA,NA
"22","314WE0796","Dry",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"23","314WE0796","Moderate",NA,NA,NA,NA,0,NA,NA,0,-1,NA,NA,NA,NA,NA,NA,NA
"24","314WE1046","Wet",0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"25","314WE1046",NA,NA,NA,0.1154,NA,NA,NA,-0.0018,-0.0137,NA,NA,0.0075,-0.0015,0.1045,NA,NA,NA
"26","314WE1046","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"27","315CE0584","Wet",0,0,NA,0,0,-2,NA,0,0,-2,NA,0,NA,NA,NA,NA
"28","315CE0584",NA,NA,NA,0.0013,NA,NA,NA,6e-04,NA,NA,NA,-3e-04,NA,3e-04,NA,NA,NA
"29","315GAVGSP",NA,NA,NA,1.3983,NA,NA,NA,NA,NA,NA,0,0,0,0.7199,NA,NA,NA
"30","315GAVGSP","Wet",0,0,NA,0,0,-2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"31","315MIU","Wet",-1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","315MIU",NA,NA,-0.5,0.762,3e-04,NA,0.5,-0.0051,0.2937,-0.5,-1,-0.0016,-0.0022,-0.049,NA,NA,NA
"33","402BA0079","Wet",-6,-6,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","402BA0079",NA,NA,NA,14.15035,NA,NA,0.5,0.6172,-0.156,-0.5,-3,-0.0715,-0.1964,9.1296,NA,NA,NA
"35","402BA0095","Wet",0,0,NA,-0.0046,0,0,NA,NA,0,0,NA,NA,-0.0032,NA,NA,NA
"36","402BA0095","Moderate",NA,NA,NA,NA,NA,NA,NA,-0.199,NA,NA,-6e-04,0,NA,NA,NA,NA
"37","402BA0095",NA,NA,NA,-0.0017,NA,NA,NA,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","402BA0143","Wet",-1,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","402BA0143",NA,NA,NA,53.6848,NA,NA,NA,-0.0923,-0.379,NA,NA,-0.25735,-0.42535,38.6539,0,-207.7937,-42
"40","402BA0143","Moderate",NA,NA,NA,NA,0,NA,NA,NA,-3,-159,NA,NA,NA,NA,NA,NA
"41","402BA0287","Wet",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"42","402BA0287",NA,NA,NA,-0.00605,NA,NA,NA,0.0027,0.00145,NA,NA,-0.00045,-6e-04,-0.001,NA,NA,NA
"43","402BA0287","Moderate",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","402BA0335","Moderate",-4,NA,NA,NA,NA,NA,NA,NA,-3,-97,NA,NA,NA,NA,NA,NA
"45","402BA0335",NA,NA,NA,26.2332,5e-04,NA,NA,0.0375,0.636,NA,NA,0.6766,0.8056,13.4249,NA,88.5127,NA
"46","402BA0335","Dry",NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","402BA0335","Wet",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,-5,NA,0
"48","402WE0536","Wet",0,0,NA,NA,0,0,NA,0,0,0,NA,-0.001,NA,NA,NA,NA
"49","402WE0536",NA,NA,NA,-0.0043,NA,NA,NA,0.0014,NA,NA,NA,-3e-04,NA,-0.0069,NA,NA,NA
"50","402WE0536","Moderate",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","402WE0803","Moderate",0,NA,-0.0225,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"52","402WE0803","Wet",NA,0,NA,0,0,0,NA,NA,0,NA,-0.001,-0.001,NA,NA,NA,NA
"53","402WE0803",NA,NA,NA,NA,NA,NA,NA,0.00275,-0.00055,NA,NA,NA,NA,0.0022,-31,0.1554,0
"54","403BA0015","Wet",NA,NA,-0.0019,0,0,0,-0.1372,-0.018,0,-11,0,0,NA,NA,NA,NA
"55","403BA0015","Moderate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","403BA0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00025,NA,NA,NA
"57","403BA0027","Wet",0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"58","403BA0027","Moderate",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","403BA0027",NA,NA,NA,-0.0322,NA,NA,NA,0.0081,0.0057,NA,0,-1e-04,-1e-04,-0.0277,NA,NA,NA
"60","403BA0171","Wet",0,NA,NA,0,NA,0,-0.005,NA,NA,0,NA,NA,NA,NA,NA,NA
"61","403BA0171",NA,NA,NA,-0.146,NA,NA,NA,NA,-0.0286,NA,NA,-0.0069,-0.0189,0.145,2,0.1167,0
"62","403BA0171","Moderate",NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"63","403BA0960","Moderate",0,NA,NA,NA,0,NA,0,0,-1,-2,0,NA,0,NA,NA,NA
"64","403BA0960","Dry",NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"65","403BA0960","Wet",NA,-72,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","403CE0188","Wet",NA,NA,NA,NA,0,NA,NA,NA,-1,-5,NA,NA,NA,NA,NA,NA
"67","403CE0188",NA,NA,NA,2.8005,2e-04,NA,NA,0.004,-0.0797,NA,NA,0.1042,0.1896,1.526,2,-6.8261,-7
"68","403CE0188","Dry",-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","403CE0188","Moderate",NA,-3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","403S00640",NA,NA,NA,-0.0655,NA,NA,NA,0.01565,0.56725,NA,1.5,-0.0102,0.0012,-0.00545,-1,1.8923,-8
"71","403S00640","Wet",-2,NA,NA,0,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA
"72","403S00640","Moderate",NA,-2,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","403S00640","Dry",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","403S00831","Moderate",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","403S00831","Wet",NA,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"76","403S00831",NA,NA,NA,-0.0029,NA,NA,NA,0.0016,-0.00015,NA,NA,7e-04,-3e-04,-0.00265,NA,NA,NA
"77","403S00875","Moderate",NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA
"78","403S00875","Wet",0,0,0,NA,0,0,NA,0,0,NA,NA,NA,1e-04,NA,NA,NA
"79","403S01195","Wet",0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"80","403S01195",NA,NA,NA,1.15605,NA,NA,NA,-0.0054,-0.0074,NA,NA,-0.0167,-0.0257,0.6627,0,4.0565,0
"81","403S01195","Dry",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","403S01195","Moderate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","403S01536","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,0.1,NA,NA,NA,NA
"84","403S01536","Moderate",NA,NA,NA,-0.0298,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"85","403S01536","Dry",-2,27,0,NA,-29,-25,-0.832,1.5,-4,NA,NA,NA,0,NA,NA,NA
"86","403S01707","Wet",0,0,NA,0,0,0,NA,NA,0,0,NA,-0.0163,NA,NA,NA,NA
"87","403S01707",NA,NA,NA,0.04865,NA,NA,NA,0.0071,0.02965,NA,NA,0.0011,NA,0.19775,NA,NA,NA
"88","403S01728","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,0,-4,NA,NA,NA,NA,NA,NA
"89","403S01728","Dry",NA,NA,NA,NA,0,NA,0,NA,NA,NA,0.01,0,NA,NA,NA,NA
"90","403S01728","Wet",-42,NA,NA,0.0458,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA
"91","403S01728",NA,NA,-43,1.0625,NA,NA,41,NA,NA,NA,NA,NA,NA,0.4165,NA,NA,NA
"92","403S02363","Wet",0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"93","403S02363",NA,NA,NA,1.0653,NA,NA,NA,-0.007,-0.0355,NA,NA,-0.0172,-0.0239,1.22985,0,5.2596,0
"94","403S02363","Moderate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","403S02363","Dry",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","403S03643","Moderate",NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"97","403S03643",NA,NA,NA,1.06155,NA,NA,NA,-0.0069,-0.0159,NA,NA,-0.01465,-0.02185,1.2016,0,5.2351,0
"98","403S03643","Wet",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"99","403S03643","Dry",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","403S05291","Wet",0,NA,NA,NA,NA,0,NA,NA,0,0,-0.0497,NA,NA,NA,NA,NA
"101","403S05291",NA,NA,NA,1.129,NA,NA,NA,-0.0066,-0.0183,NA,NA,NA,-0.0211,0.5949,0,3.562,0
"102","403S05291","Dry",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","403S05291","Moderate",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","403S06139","Wet",0,0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"105","403S06139",NA,NA,NA,1.1594,NA,NA,NA,-0.0061,-0.0193,NA,NA,-0.0151,-0.0235,0.7515,0,4.3777,0
"106","403S06139","Moderate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","403S06315","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"108","403S06315",NA,NA,NA,-0.0252,NA,NA,NA,0.0266,0.0668,NA,NA,0.0099,-0.0048,0.0047,NA,NA,NA
"109","403S06315","Wet",0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"110","403S06315","Dry",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","403S07024","Moderate",NA,NA,NA,0,NA,NA,NA,NA,-1,-2,NA,NA,NA,NA,NA,NA
"112","403S07024",NA,NA,NA,-0.7999,NA,NA,NA,0.77135,1.7268,NA,NA,0.143,0.04695,1.0021,0.5,7.47335,-4.5
"113","403S07024","Dry",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","403S07024","Wet",NA,-1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","403S07227","Moderate",NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"116","403S07227",NA,NA,NA,0.94815,NA,NA,NA,-0.0067,-0.0336,NA,NA,-0.0164,-0.0226,1.0313,0,4.7333,0
"117","403S07227","Wet",0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"118","403S07227","Dry",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","403S16332","Moderate",0,NA,NA,0,0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"120","403S16332",NA,NA,NA,-0.4467,NA,NA,NA,0.0542,-0.58565,NA,NA,0.22105,0.0632,2.32875,0.5,-51.47165,-30.5
"121","403S16332","Dry",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","403S16332","Wet",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"123","403STC009","Wet",NA,0,NA,NA,NA,0,NA,NA,0,-3,NA,NA,NA,NA,NA,NA
"124","403STC009",NA,NA,NA,-0.5249,NA,NA,NA,0.139,-0.761,NA,NA,0.1069,0.0573,2.44515,0.5,-49.07295,-30.5
"125","403STC009","Dry",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","403STC009","Moderate",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","403STC070","Moderate",NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"128","403STC070","Wet",0,0,NA,0,NA,0,NA,NA,0,NA,-0.0477,NA,NA,NA,NA,NA
"129","403STC070",NA,NA,NA,1.0701,NA,NA,NA,-0.0062,0.0573,NA,NA,NA,-0.0209,0.586,0,3.4392,0
"130","403WE0501","Wet",NA,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA
"131","403WE0501","Moderate",0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"132","403WE0534","Moderate",NA,-1,NA,NA,NA,0,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"133","403WE0534",NA,NA,NA,-0.7786,NA,NA,NA,0.6468,0.5889,NA,NA,0.11705,0.0464,1.0244,1,12.7679,0
"134","403WE0534","Wet",-1,NA,NA,0,0,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
"135","403WE0540","Wet",0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
"136","403WE0540","Moderate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","403WE0540",NA,NA,NA,-0.00115,NA,NA,NA,NA,-3e-04,NA,0.5,2e-04,6e-04,-0.00175,NA,NA,NA
"138","403WE0558","Wet",-9,NA,NA,-8e-04,NA,NA,NA,0.2,NA,-5,0.01,NA,NA,NA,NA,NA
"139","403WE0558","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
"140","403WE0558",NA,NA,-36,0.8833,NA,40,NA,1.15,NA,NA,NA,NA,NA,0.4322,-2.5,1.2027,-22.5
"141","403WE0558","Dry",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","403WE0560","Moderate",NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"143","403WE0560",NA,NA,NA,1.0749,NA,NA,NA,-0.007,0.007,NA,NA,-0.017,-0.0235,1.13085,0,5.2814,0
"144","403WE0560","Wet",0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"145","403WE0560","Dry",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","403WE0682","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,0.1,NA,NA,NA,NA
"147","403WE0682","Moderate",NA,NA,NA,-0.0298,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"148","403WE0682","Dry",-2,27,0,NA,-29,-25,-0.832,1.5,-4,NA,NA,NA,0,NA,NA,NA
"149","403WE0683","Wet",0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"150","403WE0683",NA,NA,NA,0.00625,NA,NA,NA,0.00265,-0.00265,NA,NA,-4e-04,-6e-04,-0.00305,NA,NA,NA
"151","403WE0683","Moderate",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","403WE0795","Wet",0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"153","403WE0795","Moderate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","403WE0795",NA,NA,NA,-0.0099,NA,NA,NA,0.00495,0.01945,NA,0.5,-8e-04,0.00055,0.0286,NA,NA,NA
"155","403WE0809","Moderate",NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"156","403WE0809","Wet",0,0,NA,0,NA,NA,NA,NA,0,NA,-0.005,-0.004,NA,NA,NA,NA
"157","403WE0809",NA,NA,NA,0.0119,NA,NA,NA,-3e-04,0.0026,NA,NA,NA,NA,0.0343,0,0.0821,0
"158","403WE0891","Moderate",0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"159","403WE0891",NA,NA,NA,0.0018,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"160","403WE0891","Wet",NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,7e-04,NA,NA,NA
"161","403WE0905","Wet",0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"162","403WE0905",NA,NA,NA,1.1853,NA,NA,NA,-0.0059,-0.0242,NA,NA,-0.0148,-0.023,0.70845,0,4.2857,0
"163","403WE0905","Moderate",NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","403WE1027","Dry",-2,-2,NA,NA,0,NA,NA,NA,-4,-9,0,NA,NA,NA,NA,NA
"165","403WE1027","Wet",NA,NA,NA,NA,NA,4,NA,1.5,NA,NA,NA,0.1,NA,NA,NA,NA
"166","403WE1027","Moderate",NA,NA,0,-0.0298,NA,NA,0.2,NA,NA,NA,NA,NA,0,NA,NA,NA
"167","403WE1027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2175,0
"168","404BA0084","Moderate",NA,NA,NA,NA,NA,-28,-1.4156,0.2,NA,-74,0,NA,NA,NA,NA,NA
"169","404BA0084","Wet",-53,NA,-0.124,NA,NA,NA,NA,NA,-6,NA,NA,0.0971,NA,NA,NA,NA
"170","404BA0084","Dry",NA,-59,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","404BA0084",NA,NA,NA,NA,-0.3969,NA,NA,NA,NA,NA,NA,NA,NA,0.0033,NA,NA,NA
"172","404BA0376","Moderate",-53,-58,NA,NA,NA,NA,NA,0.2,-12,-62,NA,NA,NA,NA,NA,NA
"173","404BA0376","Wet",NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"174","404BA0376","Dry",NA,NA,NA,-0.7978,NA,NA,NA,NA,NA,NA,NA,0.3233,NA,NA,NA,NA
"175","404BA0376",NA,NA,NA,0.2305,NA,NA,4,-0.245,NA,NA,NA,NA,NA,0.1278,NA,NA,NA
"176","404BA0526","Moderate",NA,NA,NA,NA,0,NA,NA,NA,NA,-61,0,NA,NA,NA,NA,NA
"177","404BA0526",NA,NA,NA,0.2107,-0.7555,NA,NA,NA,NA,NA,NA,NA,0.3633,0.0158,NA,NA,NA
"178","404BA0526","Wet",-53,NA,NA,NA,NA,-18,-0.4583,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","404BA0526","Dry",NA,-59,NA,NA,NA,NA,NA,0.2,-2,NA,NA,NA,NA,NA,NA,NA
"180","404BA0616","Moderate",NA,27,NA,NA,NA,NA,NA,NA,NA,-2,0,0.1,NA,NA,NA,NA
"181","404BA0616","Wet",-2,NA,0,-0.0298,-29,-25,-0.832,NA,NA,NA,NA,NA,0,NA,NA,NA
"182","404BA0616","Dry",NA,NA,NA,NA,NA,NA,NA,1.5,-4,NA,NA,NA,NA,NA,NA,NA
"183","404BA0852","Wet",-53,NA,NA,NA,NA,NA,NA,NA,NA,-61,NA,NA,NA,NA,NA,NA
"184","404BA0852","Dry",NA,NA,NA,NA,-2,-29,NA,NA,-8,NA,0,NA,NA,NA,NA,NA
"185","404BA0852",NA,NA,-3,0.231,-0.6233,NA,NA,NA,NA,NA,NA,NA,0.3558,0.0921,NA,NA,NA
"186","404BA0852","Moderate",NA,NA,NA,NA,NA,NA,-2.0443,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"187","404BA0964","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,-61,NA,NA,NA,NA,NA,NA
"188","404BA0964","Dry",NA,NA,NA,NA,-2,NA,-2.0698,NA,NA,NA,0,NA,NA,NA,NA,NA
"189","404BA0964",NA,NA,NA,0.2157,-0.7014,NA,NA,NA,NA,NA,NA,NA,0.3519,0.0465,NA,NA,NA
"190","404BA0964","Wet",-53,-56,NA,NA,NA,-22,NA,0.2,-8,NA,NA,NA,NA,NA,NA,NA
"191","404BA1144","Dry",NA,-57,NA,NA,NA,NA,NA,NA,NA,-62,NA,NA,NA,NA,NA,NA
"192","404BA1144","Moderate",-53,NA,NA,NA,-2,-6,-2.07,NA,NA,NA,-0.002,NA,NA,NA,NA,NA
