"","stationcode","water_year_type","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"193","404BA1144",NA,NA,NA,0.4087,-0.77,NA,NA,NA,NA,NA,NA,NA,0.3755,0.0791,NA,NA,NA
"194","404BA1144","Wet",NA,NA,NA,NA,NA,NA,NA,-0.1241,-10,NA,NA,NA,NA,NA,NA,NA
"195","404CE0316",NA,NA,-50,644.62095,NA,43.5,93.5,-0.07885,-61.0971,-56,-50.5,0.66075,-0.39,974.34975,-1.5,832.4032,-35
"196","404CE0316","Moderate",-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","404CE0316","Wet",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","404S00808",NA,NA,NA,14.3748,-0.1993,23,50,NA,-0.6989,NA,-33,NA,-0.06345,26.4641,NA,NA,NA
"199","404S00808","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"200","404S00808","Moderate",-50,-82,NA,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
"201","404S00808","Wet",NA,NA,NA,NA,NA,NA,-2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","404S01128","Wet",-52,NA,NA,NA,NA,NA,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA
"203","404S01128","Moderate",NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"204","404S01128",NA,NA,NA,2.2892,-0.6276,NA,25,-2.0457,NA,-10,NA,NA,0.2117,12.3471,NA,NA,NA
"205","404S01128","Dry",NA,NA,NA,NA,-2,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA
"206","404S02920",NA,NA,-16,-1.921,-0.46975,25.5,36.5,NA,-0.1877,NA,-13,NA,0.369,0.9987,NA,NA,NA
"207","404S02920","Wet",NA,NA,NA,NA,NA,NA,-2.2489,NA,-38,NA,0,NA,NA,NA,NA,NA
"208","404S02920","Moderate",-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","404S03048","Wet",NA,NA,NA,NA,-1,NA,-2.07,0.2,NA,-75,NA,NA,NA,NA,NA,NA
"210","404S03048","Moderate",-1,NA,NA,NA,NA,NA,NA,NA,-33,NA,0,NA,NA,NA,NA,NA
"211","404S03048",NA,NA,NA,0.2047,-0.6394,NA,13,NA,NA,NA,NA,NA,0.2275,0.3188,NA,NA,NA
"212","404S03048","Dry",NA,-57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","404S06456","Dry",NA,NA,NA,NA,-2,NA,NA,NA,NA,-83,0,NA,NA,NA,NA,NA
"214","404S06456",NA,NA,NA,0.3828,-0.3474,NA,NA,-0.027,-0.693,NA,NA,NA,0.4033,1.5087,NA,NA,NA
"215","404S06456","Moderate",-53,-74,NA,NA,NA,-6,NA,NA,-36,NA,NA,NA,NA,NA,NA,NA
"216","404S08040",NA,-0.5,-21.5,2.43995,-0.2345,22,33.5,-2.04925,0.09475,-17.5,-15,NA,NA,13.90165,NA,NA,NA
"217","404S08040","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"218","404S08040","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,NA,NA,NA,NA
"219","404S08616",NA,-43,-52,15.1368,NA,NA,21,NA,NA,-10,16,NA,NA,16.5586,NA,NA,NA
"220","404S08616","Wet",NA,NA,NA,NA,NA,NA,-0.37,NA,NA,NA,0.06,-0.4,NA,NA,NA,NA
"221","404S08616","Moderate",NA,NA,NA,-0.016,-15,NA,NA,0.0075,NA,NA,NA,NA,NA,NA,NA,NA
"222","404S08846","Wet",-8,-60,-3.941,NA,NA,NA,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA
"223","404S08846","Dry",NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"224","404S08846",NA,NA,NA,NA,-0.2762,NA,28,-1.955,-0.6707,NA,NA,NA,0.3643,1.6431,NA,NA,NA
"225","404S08846","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,-33,NA,NA,NA,NA,NA,NA,NA
"226","404S11880",NA,1.5,NA,5.31135,-0.0341,NA,33,-1.84465,-0.6371,-13,-29,NA,0.3393,8.6267,NA,NA,NA
"227","404S11880","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"228","404S11880","Dry",NA,-60,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","404S13416","Moderate",-72,NA,NA,NA,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA
"230","404S13416","Dry",NA,NA,NA,NA,NA,NA,NA,-0.7,NA,NA,0,NA,NA,NA,NA,NA
"231","404S13416",NA,NA,-26,2.4229,-0.5902,9,29,-2.0465,NA,-12,NA,NA,0.3469,14.0055,NA,NA,NA
"232","404S14952","Moderate",-66,NA,NA,NA,-8,NA,NA,NA,-38,-81,0,NA,NA,NA,NA,NA
"233","404S14952",NA,NA,-21,0.2674,-0.4061,NA,24,-1.7744,0.186,NA,NA,NA,0.2737,4.6259,NA,NA,NA
"234","404S16516",NA,NA,-31,18.354,NA,32,45,3.5572,3.4825,-20,-21,0.0465,0.4373,33.4522,7,15.2758,-19.5
"235","404S16516","Moderate",-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","404S16516","Wet",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","404S17266","Moderate",-43,NA,NA,NA,NA,NA,NA,NA,NA,-81,0,NA,NA,NA,NA,NA
"238","404S17266",NA,NA,-21,1.514,-0.6295,NA,NA,-2.046,NA,-10,NA,NA,0.2125,11.8982,NA,NA,NA
"239","404S17266","Dry",NA,NA,NA,NA,-2,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA
"240","404S17266","Wet",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","404S17664","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA
"242","404S17664","Wet",NA,NA,NA,NA,-2,NA,NA,NA,-43,NA,0,NA,NA,NA,NA,NA
"243","404S17664",NA,NA,NA,0.5821,-0.5675,NA,30,-1.1073,-0.5978,NA,NA,NA,0.2022,3.3964,NA,NA,NA
"244","404S17664","Moderate",-64,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","404S22464","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"246","404S22464","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"247","404S22464",NA,-2.5,-12.5,0.5125,-0.51935,14.5,24,-0.9138,0.16565,NA,NA,NA,0.2254,9.5346,NA,NA,NA
"248","404S22464","Wet",NA,NA,NA,NA,NA,NA,NA,NA,-53,NA,NA,NA,NA,NA,NA,NA
"249","404S25668","Moderate",-71,NA,NA,NA,-1,NA,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA
"250","404S25668","Dry",NA,NA,NA,NA,NA,NA,NA,NA,-47,NA,0,NA,NA,NA,NA,NA
"251","404S25668",NA,NA,-18,0.6388,-0.4588,NA,23,-2.028,NA,NA,NA,NA,0.3526,10.1587,NA,NA,NA
"252","404S25668","Wet",NA,NA,NA,NA,NA,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA
"253","404S26868",NA,NA,NA,1.4685,-0.59155,NA,27,0.02,0.02,NA,-23,5e-04,0.2431,9.68,NA,NA,NA
"254","404S26868","Moderate",-67,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","404S26868","Wet",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","404S26868","Dry",NA,NA,NA,NA,NA,NA,NA,NA,-56,NA,NA,NA,NA,NA,NA,NA
"257","404S28068",NA,NA,-19,0.2699,-0.3978,NA,28,NA,-0.1541,-7,-19,NA,0.194,4.1204,NA,NA,NA
"258","404S28068","Wet",NA,NA,NA,NA,NA,NA,-2.35,NA,NA,NA,0,NA,NA,NA,NA,NA
"259","404S28068","Moderate",-61,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","404S28270",NA,-4,-34.5,2.9561,NA,35.5,76.5,NA,-1.2917,-30.5,-59.5,0.0155,0.0386,27.6262,7,14.05265,-19
"261","404S28270","Wet",NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","404S32468",NA,-6.5,-29,28.28915,-0.40765,16,42.5,-2.035,-0.6734,-33.5,-45,NA,-0.1327,58.4725,NA,NA,NA
"263","404S32468","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"264","404S34120",NA,-7.5,-50,2.29055,NA,39.5,79.5,NA,-0.11225,-37,-30,0.0035,0.0249,5.1779,-6,-1.8577,-28
"265","404S34120","Wet",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","404S34120","Moderate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","404S35270","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"268","404S35270","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"269","404S35270",NA,NA,NA,0.41335,-0.39305,14.5,25.5,-0.92,-0.01505,-13,NA,NA,0.2123,8.0125,NA,NA,NA
"270","404S35270","Moderate",-71,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","404S45622","Moderate",-53,-56,NA,NA,NA,-6,NA,NA,NA,-104,NA,NA,NA,NA,NA,NA
"272","404S45622","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"273","404S45622",NA,NA,NA,0.3639,-0.3426,NA,NA,NA,-0.4867,-4,NA,NA,0.3829,1.5595,NA,NA,NA
"274","404S45622","Wet",NA,NA,NA,NA,-1,NA,-3.4373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","405CE0280","Moderate",NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"276","405CE0280","Dry",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"277","405CE0280",NA,NA,NA,NA,NA,NA,NA,NA,-0.0013,NA,NA,-0.00085,-9e-04,-5e-04,NA,NA,NA
"278","405CE0280","Wet",NA,0,NA,NA,NA,0,-0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","405PS0030","Wet",0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"280","405PS0030",NA,NA,NA,-0.2049,NA,NA,NA,-0.0195,-0.0236,NA,0,-0.0045,-0.0061,0.6749,NA,NA,NA
"281","405WE0777","Wet",2,NA,NA,NA,NA,NA,NA,NA,NA,-6,0.01,NA,NA,NA,NA,NA
"282","405WE0777","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"283","405WE0777",NA,NA,0.5,0.04375,0.0112,NA,2.5,0.00875,NA,NA,NA,NA,NA,0.0378,-1,0.1768,0
"284","405WE0777","Dry",NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"285","407CE0092",NA,NA,-38,0.1098,-0.2602,64,NA,NA,NA,NA,-46,NA,NA,0.0529,NA,NA,NA
"286","407CE0092","Wet",NA,NA,NA,NA,NA,NA,NA,0,-32,NA,-0.202,-0.1,NA,NA,NA,NA
"287","407CE0092","Moderate",-16,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","407CE0092","Dry",NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","407CE0668",NA,NA,-38,0.1098,-0.2602,64,NA,NA,NA,NA,-46,NA,NA,0.0529,NA,NA,NA
"290","407CE0668","Wet",NA,NA,NA,NA,NA,NA,NA,0,-32,NA,-0.202,-0.1,NA,NA,NA,NA
"291","407CE0668","Moderate",-16,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","407CE0668","Dry",NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","408BA0660",NA,-137,-79,100.0963,-1e-04,142,-10,-22.9055,-3.08475,NA,173.5,-0.0895,-0.1401,226.0838,NA,NA,NA
"294","408BA0660","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,-157,NA,NA,NA,NA,NA,NA,NA
"295","408BA0836",NA,-117,-52.5,168.658,0,152,-29,-14.0646,-6.7133,28,168,-0.3456,-0.2164,239.198,NA,NA,NA
"296","408BA0916",NA,-137.5,-57.5,118.4062,0,142,-27,-14.2659,-6.06575,3,172.5,-0.2416,-0.2881,181.37145,NA,NA,NA
"297","408CAL012",NA,NA,NA,45.6026,-0.0337,NA,19,-0.0417,0.2187,-9,-1,-0.1675,-0.2361,64.8292,NA,NA,NA
"298","408CAL012","Moderate",-190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","408CAL012","Wet",NA,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","408PS0032",NA,-127,-80,328.6702,-1e-04,148.5,-11.5,-41.96115,-4.93565,23,166,-0.5856,-0.3164,432.1111,NA,NA,NA
"301","408WE0547",NA,-90,-212,-42.71815,0,116,125,-0.001,0,-82,NA,NA,NA,62.5242,NA,NA,NA
"302","408WE0654",NA,-160,-99.5,28.3624,NA,0,13,NA,0.3799,-21.5,NA,NA,NA,26.5144,NA,NA,NA
"303","408WE0654","Wet",NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","408WE1039","Moderate",-39,-40,0,NA,NA,NA,0,NA,NA,38,NA,NA,NA,1,NA,2
"305","408WE1039","Wet",NA,NA,NA,0,-1,-1,NA,1.4887,0,NA,0.0996,NA,0,NA,NA,NA
"306","408WE1039","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"307","408WE1039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04375,NA
"308","410CE0284","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,-95,NA,NA,NA,NA,NA,NA
"309","410CE0284",NA,29.5,-3,47.35265,-0.0618,29,62,-0.2114,-0.4382,NA,NA,-0.2633,-0.3809,63.9009,NA,NA,NA
"310","410CE0284","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,-84,NA,NA,NA,NA,NA,NA,NA
"311","412CE0104",NA,30.5,NA,1041.7558,-0.0262,NA,15,-10.4911,-49.0606,NA,-7,-8.7052,-15.3851,1368.2699,0,-2271.4617,-9
"312","412CE0104","Moderate",NA,-177,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","412CE0104","Wet",NA,NA,NA,NA,NA,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"314","412CE0616","Wet",NA,NA,NA,NA,0,NA,NA,NA,NA,-148,NA,NA,NA,NA,NA,NA
"315","412CE0616",NA,NA,NA,525.2162,-0.01825,NA,41,-5.1455,-20.8965,-7,NA,-5.8708,-10.4605,1188.5554,0,3555.4137,-1
"316","412CE0616","Dry",-149,-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","412CE0732","Moderate",NA,-20,NA,NA,NA,NA,NA,NA,-88,-243,NA,NA,NA,NA,NA,NA
"318","412CE0732",NA,NA,NA,791.77265,-0.0147,14.5,12,-6.6289,-18.1355,NA,NA,-7.4427,-8.7561,918.2787,0,-938.4751,-26
"319","412CE0732","Dry",-170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","412WE0552","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,0,-34,NA,NA,NA,NA,NA,NA
"321","412WE0552","Wet",-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,NA,NA,NA,NA
"322","412WE0552","Dry",NA,-43,NA,NA,0,-10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"323","412WE0552",NA,NA,NA,0.7125,0.0084,NA,NA,0.12,NA,NA,NA,NA,NA,0.06845,-6,0.331,0
"324","412WE0563","Wet",-8,-10,NA,0,0,-2,0,NA,0,-1,0,NA,NA,NA,NA,NA
"325","412WE0563","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"326","412WE0563","Moderate",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"327","481S05856",NA,0,0,-0.0853,0,0,0,-0.0225,-0.0447,0,NA,NA,NA,0.3413,NA,NA,NA
"328","722PS0535","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"329","722PS0535","Moderate",0,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA
"330","722PS0535","Dry",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"331","722PS0611","Wet",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","722PS0611",NA,NA,NA,1.198,NA,NA,3,1.34495,-3.43,-3,-6,2.6766,-0.004,1.3953,NA,NA,NA
"333","801CE0152","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA
"334","801CE0152",NA,NA,NA,0.052,NA,NA,-1,-0.0051,0.0495,0,NA,-0.0037,-0.0022,0.0466,NA,NA,NA
"335","801CE0152","Wet",-2,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","801CE0152","Moderate",NA,-2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","801LYC271","Wet",0,0,NA,-2e-04,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA
"338","801LYC271",NA,NA,NA,-0.1246,NA,NA,2,-0.6121,-0.0361,-2,NA,0.00815,-0.00915,1.0455,NA,NA,NA
"339","801LYC271","Moderate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","801MIC042",NA,-95.5,-120,85.237,-1e-04,116,-5.5,-1.19385,-1.27305,27,160,-0.7472,-0.5193,175.2174,NA,NA,NA
"341","801RB8501","Moderate",NA,-50,0,NA,NA,NA,NA,0,NA,0,0.1,0.1,NA,NA,NA,NA
"342","801RB8501","Wet",0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","801RB8501","Dry",NA,NA,NA,NA,0,-2,NA,NA,1,NA,NA,NA,0,NA,NA,NA
"344","801S08727","Moderate",12,NA,0,NA,0,-1,0,0,NA,1,NA,NA,NA,NA,NA,NA
"345","801S08727","Dry",NA,NA,NA,-0.02,NA,NA,NA,NA,1,NA,0.1,NA,0,NA,NA,NA
"346","801S08727","Wet",NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA
"347","801WE0550","Dry",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"348","801WE0550",NA,NA,NA,NA,NA,NA,NA,-0.0459,-0.0485,NA,NA,-0.0324,-0.04685,0.4347,-16,1.34305,NA
"349","801WE0550","Wet",NA,NA,-0.5431,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"350","801WE0669",NA,NA,NA,29.9225,-0.0152,NA,16,-0.23,NA,NA,-27,NA,0.0419,34.5351,NA,NA,NA
"351","801WE0669","Wet",NA,NA,NA,NA,NA,NA,NA,-9.509,NA,NA,0,NA,NA,NA,NA,NA
"352","801WE0669","Dry",-57,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","801WE0669","Moderate",NA,NA,NA,NA,0,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA,NA
"354","801WE0674","Dry",-7,-4,0,0,0,-2,NA,0,-1,-4,0,NA,0,NA,NA,NA
"355","801WE0674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6e-04,NA,NA,NA,NA
"356","801WE0674","Moderate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","801WE0989",NA,-27.5,-26.5,666.54615,0.0728,0,17.5,-2.1,-2.1,-19.5,-64,-0.0044,0.1,1266.49665,NA,NA,NA
"358","801WE1008","Dry",12,12,NA,-0.02,0,-2,0,0,2,2,NA,NA,NA,NA,NA,NA
"359","801WE1008","Moderate",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,NA,NA,NA
"360","801WE1013","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"361","801WE1013",NA,NA,NA,-0.02515,NA,NA,NA,0.0197,0.1708,NA,NA,-0.0121,-0.0107,0.0415,NA,NA,NA
"362","801WE1013","Dry",0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"363","801WE1013","Moderate",NA,-1,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","801WE1020","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"365","801WE1020","Wet",0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"366","801WE1020","Moderate",NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,-1e-04,NA,NA,NA
"367","801WE1032",NA,60,60.5,4280.74835,0.07385,-0.5,5,8.71615,482.98435,-5.5,NA,NA,NA,531.3732,NA,NA,NA
"368","801WE1043","Wet",NA,NA,NA,NA,-1,-5,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA
"369","801WE1043",NA,NA,NA,0.1621,NA,NA,NA,-0.0153,-0.034,NA,NA,-0.0299,-0.0323,0.20305,-1,5.4104,-1
"370","801WE1043","Dry",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","801WE1043","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA
"372","801WE1127",NA,NA,NA,0.3914,NA,NA,NA,0.0013,0.0325,NA,0.5,-0.01345,-0.00255,0.1606,2.5,-8.5146,-19
"373","801WE1127","Wet",-45,NA,NA,0,-1,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","801WE1127","Moderate",NA,-7,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA
"375","801WE1132","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,0,-2,0,NA,NA,NA,NA,NA
"376","801WE1132","Wet",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA
"377","801WE1132","Dry",-47,-47,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
